,start_time,end_time,hv_SiPM,hv_PMT,hv_veto_SiPM,hv_veto_PMT,custom_scenario_PMT,custom_scenario_SiPM,thresholds_SiPM.channel_0,thresholds_SiPM.channel_1,thresholds_SiPM.channel_2,thresholds_SiPM.channel_3,thresholds_PMT.channel_0,thresholds_PMT.channel_1,thresholds_PMT.channel_2,thresholds_PMT.channel_3
103,2022-06-01 12:58:23,2022-06-01 13:40:05,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
104,2022-06-01 14:28:17,2022-06-01 15:10:05,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
105,2022-06-01 15:58:23,me 1654099574.49215,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
106,2022-06-03 12:41:48,2022-06-03 13:23:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
107,2022-06-03 14:11:48,2022-06-03 14:53:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
108,2022-06-03 15:41:45,2022-06-03 16:23:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
109,2022-06-03 17:11:48,2022-06-03 17:53:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
110,2022-06-03 18:41:39,2022-06-03 19:23:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
111,2022-06-03 20:11:39,2022-06-03 20:53:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
112,2022-06-03 21:41:45,2022-06-03 22:23:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
113,2022-06-03 23:11:39,2022-06-03 23:53:27,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
114,2022-06-04 03:40:00,2022-06-04 04:21:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
115,2022-06-04 05:10:06,2022-06-04 05:51:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
116,2022-06-06 16:14:58,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
117,2022-06-06 16:19:31,2022-06-06 16:27:39,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
118,2022-06-06 16:32:02,2022-06-06 16:41:14,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
119,2022-06-06 17:29:26,2022-06-06 18:11:14,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
120,2022-06-06 18:59:26,2022-06-06 19:41:14,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
121,2022-06-06 20:29:32,2022-06-06 21:11:14,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
122,2022-06-06 21:59:32,2022-06-06 22:41:14,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
123,2022-06-07 02:27:40,2022-06-07 03:09:26,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
124,2022-06-07 03:57:40,2022-06-07 04:39:26,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
125,2022-06-07 10:34:01,2022-06-07 11:15:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
126,2022-06-07 12:04:07,2022-06-07 12:45:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
127,2022-06-07 13:34:07,2022-06-07 14:15:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
128,2022-06-07 15:04:04,2022-06-07 15:45:49,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
129,2022-06-07 16:34:07,2022-06-08 16:26:47,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
130,2022-06-08 17:11:17,2022-06-08 17:53:02,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
131,2022-06-08 18:41:20,2022-06-08 19:23:02,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
132,2022-06-08 20:11:20,2022-06-08 20:53:02,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
133,2022-06-08 21:41:20,2022-06-08 22:23:02,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
134,2022-06-09 02:10:22,2022-06-09 02:52:10,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
135,2022-06-09 03:40:25,2022-06-09 04:22:10,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
136,2022-06-09 10:16:32,2022-06-09 10:58:20,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
137,2022-06-09 11:46:32,2022-06-09 12:28:20,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
138,2022-06-09 13:16:32,2022-06-09 13:58:20,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
139,2022-06-09 14:46:38,2022-06-09 14:54:37,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
140,2022-06-10 14:09:26,2022-06-10 14:17:28,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
141,2022-06-10 14:21:51,2022-06-10 14:29:50,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
142,2022-06-10 14:34:16,2022-06-10 14:42:15,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
143,2022-06-10 14:46:35,2022-06-10 14:54:34,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
144,2022-06-10 15:20:49,2022-06-10 16:02:38,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
145,2022-06-10 16:50:49,2022-06-10 17:32:38,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
146,2022-06-10 18:20:55,2022-06-10 19:02:38,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
147,2022-06-10 19:50:58,2022-06-10 20:32:38,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
148,2022-06-10 21:20:52,2022-06-10 22:02:38,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
149,2022-06-11 01:52:16,2022-06-11 02:34:05,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
150,2022-06-11 03:22:22,2022-06-11 04:04:05,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
151,2022-06-11 09:57:36,2022-06-11 10:39:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
152,2022-06-11 11:27:33,2022-06-11 12:09:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
153,2022-06-11 12:57:36,2022-06-11 13:39:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
154,2022-06-11 14:27:33,2022-06-11 15:09:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
155,2022-06-11 15:57:39,2022-06-11 16:39:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
156,2022-06-11 17:27:33,2022-06-11 18:09:21,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
