timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665473756.9422348,22,0,0,0,0,0,4000,1000,0,1,0,0,0,-18.46288217151555,12.985703092228983
1665473779.0622053,22,0,0,0,0,0,2827,2304,0,1,0,0,14,-17.605525672361264,14.107028242111268
1665473800.1767225,22,47,7,25,42,29,2827,2304,0,1,0,0,14,-16.777895123272828,15.173878457766351
1665473821.2912397,23,43,7,23,41,29,2827,2304,0,1,0,0,14,-15.941509544403571,16.236710143884995
1665473842.405757,23,46,6,24,42,28,2827,2304,0,1,0,0,14,-15.095363404878443,17.295290670316664
1665473863.5202744,23,44,8,23,39,29,2827,2304,0,1,0,0,14,-14.23866624478899,18.349766971023488
1665473884.6347916,23,51,7,22,42,30,2827,2304,0,1,0,0,14,-13.370382942941418,19.39913887086226
1665473905.7493088,24,47,7,21,41,26,2827,2304,0,1,0,0,14,-12.48952421894583,20.442866861568664
1665473926.863826,24,52,6,22,38,29,2827,2304,0,1,0,0,14,-11.595596799945378,21.481323672382235
1665473947.9783432,24,48,6,21,41,26,2827,2304,0,1,0,0,14,-10.688040745850163,22.513868730550808
1665473969.0928605,24,39,7,22,36,25,2827,2304,0,1,0,0,14,-9.765909582384582,23.539579238198698
1665473990.207378,25,43,5,20,37,27,2827,2304,0,1,0,0,14,-8.827210001225303,24.558948210366005
1665474011.3218951,25,42,7,21,41,28,2827,2304,0,1,0,0,14,-7.8731171185766415,25.571277891021843
1665474032.4364123,25,50,6,22,38,26,2827,2304,0,1,0,0,14,-6.900265110168602,26.575171301621804
1665474053.5509295,25,54,6,23,39,31,2827,2304,0,1,0,0,14,-5.909672965462714,27.570889701426246
1665474074.6654468,25,41,7,22,36,25,2827,2304,0,1,0,0,14,-4.899503758983925,28.55862009245419
1665474095.7799642,26,45,7,23,39,25,2827,2304,0,1,0,0,14,-3.8688581177318957,29.536873969412635
1665474116.8944814,26,49,7,22,42,30,2827,2304,0,1,0,0,14,-2.816645194906637,30.505485742403003
1665474138.0089986,26,38,7,23,34,26,2827,2304,0,1,0,0,14,-1.7415175556325562,31.46277788213413
1665474159.1235158,26,37,7,24,33,23,2827,2304,0,1,0,0,14,-0.6431872396803883,32.410104598049344
1665474180.238033,26,44,7,24,39,27,2827,2304,0,1,0,0,14,0.4803846527678849,33.345471240984025
1665474201.3525503,26,47,8,23,38,29,2827,2304,0,1,0,0,14,1.6294267197095693,34.26919435460401
1665474222.4670677,27,46,8,25,41,30,2827,2304,0,1,0,0,14,2.806317159650184,35.17947709052538
1665474243.581585,27,44,8,25,38,28,2827,2304,0,1,0,0,14,4.010640497899487,36.076376474189615
1665474264.6961021,27,44,9,25,38,29,2827,2304,0,1,0,0,14,5.244804106539169,36.958265316511884
1665474306.9251366,27,42,10,26,37,25,2827,2304,0,1,0,0,14,7.805364854424148,38.67625652296759
1665474328.0396538,27,47,8,27,36,28,2827,2304,0,1,0,0,14,9.1342377532067,39.5105469519725
1665474349.1541712,28,46,12,30,38,30,2827,2304,0,1,0,0,14,10.49686946820699,40.32675382125317
1665474370.2686884,28,48,11,29,38,32,2827,2304,0,1,0,0,14,11.894011430881763,41.12473937698362
1665474412.4977229,28,47,13,30,38,33,2827,2304,0,1,0,0,14,14.797574219058717,42.6594048647242
1665474433.61224,28,48,14,34,40,35,2827,2304,0,1,0,0,14,16.305213971869687,43.39521714734706
1665474454.7267575,28,49,15,35,41,37,2827,2304,0,1,0,0,14,17.851357679596887,44.1075660822518
1665474539.1848264,29,38,17,37,38,34,2827,2304,0,1,0,0,14,24.42831814739896,46.705736259977336
1665474560.2993436,29,32,19,30,30,28,2827,2304,0,1,0,0,14,26.171922471762823,47.28642866388735
1665474623.6428955,30,31,20,29,29,30,2827,2304,0,1,0,0,14,31.636235255964802,48.844048602703694
1665474644.7574127,30,33,21,32,32,31,2827,2304,0,1,0,0,14,33.532896641419995,49.2978723838198
1665474665.87193,30,39,23,37,37,33,2827,2304,0,1,0,0,14,35.464382525717554,49.71747432954328
1665474686.9864473,30,26,22,27,27,27,2827,2304,0,1,0,0,14,37.42936307350126,50.10012532212985
1665474729.2154818,30,31,23,33,31,32,2827,2304,0,1,0,0,14,41.45082145504246,50.7553095978814
1665474750.329999,30,44,26,41,42,41,2827,2304,0,1,0,0,14,43.502209453224594,51.02544494260037
1665474771.4445162,31,53,26,49,47,46,2827,2304,0,1,0,0,14,45.57728085134129,51.25525036407286
1665474834.788068,31,35,26,34,33,34,2827,2304,0,1,0,0,14,51.904642123263926,51.702152726508054
1665474855.9025853,31,31,24,30,28,30,2827,2304,0,1,0,0,14,54.03616986165817,51.76872259417173
1665474877.0171025,31,40,29,40,40,41,2827,2304,0,1,0,0,14,56.171249319260156,51.79244486620229
1665474898.1316197,31,36,25,35,34,33,2827,2304,0,1,0,0,14,58.30739472084419,51.77464581835478
1665474919.246137,31,46,27,42,39,40,2827,2304,0,1,0,0,14,60.439210445447806,51.71445413420378
1665474940.3606544,31,31,26,29,30,31,2827,2304,0,1,0,0,14,62.56365553618142,51.612835328920596
1665474982.5896888,32,34,25,33,33,34,2827,2304,0,1,0,0,14,66.77284985258744,51.28538536249956
1665475003.704206,32,38,24,39,36,35,2827,2304,0,1,0,0,14,68.85002113804335,51.0609975715396
1665475024.8187232,32,32,25,31,32,32,2827,2304,0,1,0,0,14,70.90466230039118,50.79702651516401
1665475045.9332407,32,36,25,33,32,30,2827,2304,0,1,0,0,14,72.93376356540912,50.494036497914834
1665475067.0477579,32,47,23,40,37,35,2827,2304,0,1,0,0,14,74.93450015454508,50.153186142263124
1665475088.162275,32,49,25,42,38,39,2827,2304,0,1,0,0,14,76.90394908413803,49.77592124066491
1665475109.2767923,32,45,22,38,39,35,2827,2304,0,1,0,0,14,78.84020656848516,49.36132313918268
1665475130.3913095,32,44,24,40,38,35,2827,2304,0,1,0,0,14,80.74148581948661,48.91319911231138
1665475172.6203442,32,32,21,28,31,29,2827,2304,0,1,0,0,14,84.43263004536784,47.916073086558676
1665475193.7348614,33,41,23,36,34,33,2827,2304,0,1,0,0,14,86.2209786576418,47.369485794302065
1665475214.8493786,33,45,19,37,37,32,2827,2304,0,1,0,0,14,87.97002660712474,46.79322300875727
1665475235.9638958,33,37,19,35,35,29,2827,2304,0,1,0,0,14,89.67898581016574,46.188185003101786
1665475257.078413,33,45,17,35,35,35,2827,2304,0,1,0,0,14,91.34851725232531,45.55537572914028
1665475278.1929305,33,53,16,36,38,33,2827,2304,0,1,0,0,14,92.97850329775206,44.89670943844775
1665475299.3074477,33,53,15,34,37,33,2827,2304,0,1,0,0,14,94.5684256187055,44.211850641203775
1665475320.421965,33,37,15,29,33,25,2827,2304,0,1,0,0,14,96.11962127717139,43.50260359672156
1665475362.6509993,33,41,15,28,30,26,2827,2304,0,1,0,0,14,99.10778955474598,42.01730824635221
1665475383.7655165,33,49,12,29,33,27,2827,2304,0,1,0,0,14,100.54566443771718,41.242988695454926
1665475404.880034,33,47,12,26,30,25,2827,2304,0,1,0,0,14,101.9479270211345,40.448451672222326
1665475425.9945512,34,43,11,27,29,26,2827,2304,0,1,0,0,14,103.31522056017664,39.635213153780306
1665475447.1090684,34,46,11,28,34,26,2827,2304,0,1,0,0,14,104.64842386270904,38.8039727772427
1665475468.2235856,34,48,10,25,31,25,2827,2304,0,1,0,0,14,105.94863703336237,37.956415768604394
1665475489.3381028,34,33,9,22,24,20,2827,2304,0,1,0,0,14,107.21680682607331,37.09151195340789
1665475510.45262,34,43,9,24,30,25,2827,2304,0,1,0,0,14,108.45522164694052,36.21199466650414
1665475531.5671375,34,45,9,22,28,21,2827,2304,0,1,0,0,14,109.66307690753261,35.31786882986629
1665475552.6816547,34,47,8,21,28,23,2827,2304,0,1,0,0,14,110.84348435806798,34.41053578165341
