#### , TYP-yyMMdd-HH:mm:ss-numer_N_all , yyyy-MMM-dd HH:mm:ss.SSSSSS , Lat , Lon , B_PhN , PhN90 , Pcore , B_dur , T_90 , Tcore , C_PhN , C_dur , DOY , xDPU , tcp , Pos , Corr , Typ ,

69, TGF-220710-00:15:41-43422 , 2022-07-10 00:15:41.535479 ,4.898,-64.4194,80,72,71,501,241,232,12,373,191,960378,0, App ,86898, B , 
70, TGF-220710-11:40:27-45152 , 2022-07-10 11:40:27.576573 ,29.4113,-88.6395,261,235,234,180,82,80, --- , --- ,191,736295,0, App ,-96278, B , 
71, TGF-220710-18:50:38-46007 , 2022-07-10 18:50:38.461576 ,7.2302,14.1083,30,26,26,191,151,132, --- , --- ,191,461702,0, App ,26125, B , 
72, TGF-220712-14:13:50-51610_ALL , 2022-07-12 14:13:50.156742 ,17.6444,81.3366,51, --- , --- ,823, --- , --- , --- , --- ,193,959205,0, App ,14463, B , 
72, TGF-220712-14:13:50-51610_a , 2022-07-12 14:13:50.156742 ,17.6444,81.3366,37,33,33,244,112,111, --- , --- ,193,959205,0, App ,14463, B , 
72, TGF-220712-14:13:50-51610_b , 2022-07-12 14:13:50.157281 ,17.6444,81.3366,14, --- , --- ,284, --- , --- , --- , --- ,193,959744,0, App ,14463, B , 
73, TGF-220715-14:01:43-60776 , 2022-07-15 14:01:43.821318 ,10.7955,-136.5295,36,32,32,170,101,100, --- , --- ,196,303216,0, App ,75897, B , 
74, TGF-220717-21:49:26-04943 , 2022-07-17 21:49:26.486812 ,-5.5278,105.7323,78,70,70,65,40,40, --- , --- ,198,624355,0, App ,-51458, B , 
75, TGF-220720-05:15:51-13071 , 2022-07-20 05:15:51.028558 ,39.8153,-64.9603,21,19,18,82,59,53,24,266,201,473743,0, App ,39185, C , 
76, TGF-220721-18:33:30-18623 , 2022-07-21 18:33:30.298080 ,13.689,116.3447,137,123,123,166,104,103,54,143,202,322773,0, App ,35692, B , 
77, TGF-220723-13:12:42-25322 , 2022-07-23 13:12:42.300925 ,4.8259,20.8508,26,24,23,91,81,65, --- , --- ,204,858437,0, App ,1511, B , 
78, TGF-220723-18:31:25-26125 , 2022-07-23 18:31:25.233804 ,13.8772,104.8355,91,81,81,206,69,64,42,265,204,721789,0, App ,82984, B , 
79, TGF-220724-14:46:19-29301 , 2022-07-24 14:46:19.689985 ,-10.6124,175.7895,15, --- , --- ,67, --- , --- ,10,137,205,943988,0, App ,49002, B , 
80, TGF-220725-20:57:33-34001 , 2022-07-25 20:57:33.773087 ,13.2957,-102.2512,38,34,34,115,86,84, --- , --- ,206,553116,0, App ,8029, B , 
81, TGF-220726-12:25:06-36415 , 2022-07-26 12:25:07.165470 ,10.9238,20.0503,21,19,18,84,73,53, --- , --- ,207,629869,0, App ,58398, B , 
82, TGF-220726-20:12:28-37629 , 2022-07-26 20:12:28.314501 ,20.4071,-90.4267,120,108,107,146,92,88, --- , --- ,207,612150,0, App ,-7351, B , 
83, TGF-220726-20:13:09-37633 , 2022-07-26 20:13:09.121832 ,22.3864,-88.7102,38,34,34,106,80,77, --- , --- ,207,421238,0, App ,-7594, B , 
84, TGF-220730-16:57:33-52096 , 2022-07-30 16:57:33.652254 ,5.7828,-77.1123,49,45,44,129,100,93, --- , --- ,211,85802,0, App ,-71453, B , 
85, TGF-220801-18:37:06-59679 , 2022-08-01 18:37:06.453914 ,31.9015,-89.5319,51,45,45,125,45,45, --- , --- ,213,378745,0, App ,-48169, B , 
86, TGF-220802-17:48:54-63179 , 2022-08-02 17:48:54.339953 ,30.1602,-85.344,177,159,159,97,76,72, --- , --- ,214,394296,0, App ,-34658, B , 
87, TGF-220809-17:28:48-21936 , 2022-08-09 17:28:48.422559 ,4.7368,27.2216,21,19,18,113,69,34, --- , --- ,221,606151,0, App ,-6409, B , 
88, TGF-220814-21:07:23-39701 , 2022-08-14 21:07:23.125072 ,28.2863,-79.3453,64,58,57,89,74,61, --- , --- ,226,770855,0, App ,57782, B , 
89, TGF-220815-21:56:01-43157 , 2022-08-15 21:56:01.588218 ,18.686,-88.028,23,21,20,106,85,79, --- , --- ,227,922440,0, App ,94221, B , 
90, TGF-220818-18:57:33-52874 , 2022-08-18 18:57:33.568258 ,13.2848,145.6455,49,45,44,127,84,77, --- , --- ,230,300551,0, App ,110293, B , 
91, TGF-220820-20:24:30-59913 , 2022-08-20 20:24:30.829304 ,2.6002,103.0048,38,34,34,163,106,79,13,106,232,116647,0, App ,-100657, B , 
92, TGF-220822-09:36:49-65189 , 2022-08-22 09:36:49.357778 ,16.2213,-93.0972,16, --- , --- ,28, --- , --- ,2,7,234,923123,-1, App ,27344, M , 
93, TGF-220824-17:53:07-07926 , 2022-08-24 17:53:07.574377 ,19.2776,-80.3087,72,64,64,92,32,31, --- , --- ,236,792436,0, App ,-3941, B , 
94, TGF-220825-10:07:39-10463 , 2022-08-25 10:07:39.466347 ,-19.7997,-148.4462,24,22,21,103,77,53,17,142,237,73087,0, App ,-100261, C , 
95, TGF-220830-03:16:04-27889 , 2022-08-30 03:16:04.822293 ,12.253,-47.254,42,38,37,148,69,54,13,145,242,244682,0, App ,-65611, C , 
96, TGF-220830-22:22:59-30876 , 2022-08-30 22:22:59.175449 ,28.376,166.2948,24,22,21,113,96,72, --- , --- ,242,248100,0, App ,-84350, B , 
97, TGF-220902-02:21:56-38917 , 2022-09-02 02:21:57.566270 ,-2.5893,-63.1989,17, --- , --- ,78, --- , --- ,1,57,245,692803,1, App ,3533, C , 
98, TGF-220903-02:12:14-43377 , 2022-09-03 02:12:14.150013 ,28.3888,90.2071,94,84,84,146,72,52, --- , --- ,246,829571,0, App ,24557, B , 
99, TGF-220903-10:00:04-45260 , 2022-09-03 10:00:04.579239 ,17.9427,-18.2774,84,76,75,221,122,118, --- , --- ,246,87125,0, App ,37886, B , 
100, TGF-220905-09:54:28-55102 , 2022-09-05 09:54:28.092576 ,28.4456,-39.2028,22,20,19,124,90,79, --- , --- ,248,556876,0, App ,-24700, B , 
101, TGF-220906-04:01:07-58591 , 2022-09-06 04:01:07.817389 ,27.8842,-85.5126,54,48,48,101,57,43,28,132,249,903250,0, App ,62861, B , 
102, TGF-220906-09:14:18-59537 , 2022-09-06 09:14:18.485945 ,7.0947,-15.326,48,44,43,40,32,30, --- , --- ,249,457969,0, App ,-45977, B , 
103, TGF-220906-11:35:59-59936 , 2022-09-06 11:35:59.763287 ,0.1958,134.4422,62,56,55,129,69,64,37,205,249,691167,0, App ,-95120, B , 
104, TGF-220908-09:59:26-02913 , 2022-09-08 09:59:26.379028 ,-4.8746,143.0955,47,43,42,268,141,117, --- , --- ,251,316993,0, App ,-84036, B , 
105, TGF-220908-12:17:09-03341 , 2022-09-08 12:17:09.152477 ,9.4407,-75.5715,44,40,39,81,54,45, --- , --- ,251,43765,0, App ,-48713, B , 
106, TGF-220909-11:27:19-08199 , 2022-09-09 11:27:19.208134 ,16.5578,-74.8602,18, --- , --- ,130, --- , --- , --- , --- ,252,588239,0, App ,-40896, B , 
107, TGF-220910-09:59:18-12204 , 2022-09-10 09:59:18.089784 ,1.156,136.0074,27,25,24,146,140,98, --- , --- ,253,951151,0, App ,-28634, B , 
108, TGF-220911-11:27:22-17399 , 2022-09-11 11:27:22.818615 ,9.9394,-81.1529,48,44,43,114,66,59, --- , --- ,254,92445,0, App ,35829, B , 
109, TGF-220911-20:05:00-18996 , 2022-09-11 20:05:00.000377 ,11.3918,-15.6405,96,86,86,106,62,57, --- , --- ,254,79121,0, App ,5744, B , 
110, TGF-220913-09:48:54-25759 , 2022-09-13 09:48:53.951853 ,20.2116,-76.9219,25,23,22,113,93,83, --- , --- ,256,158003,0, App ,84150, B , 
111, TGF-220915-19:11:41-35510 , 2022-09-15 19:11:41.322862 ,-4.2566,148.3737,192,172,172,132,66,64, --- , --- ,258,261587,0, App ,-66276, B , 
112, TGF-220916-20:42:57-40054 , 2022-09-16 20:42:57.054294 ,2.5601,-62.0957,23,21,20,277,130,99, --- , --- ,259,481983,0, App ,-11311, B , 
113, TGF-220918-02:49:15-46033 , 2022-09-18 02:49:15.322701 ,9.4201,9.3547,209,189,188,118,71,67,170,120,261,125386,0, App ,96685, B , 
114, TGF-220918-11:30:40-47525 , 2022-09-18 11:30:40.648953 ,23.1558,84.0175,73,65,65,859,635,593, --- , --- ,261,282320,0, App ,-87634, B , 
115, TGF-220919-13:42:58-52620 , 2022-09-19 13:42:58.823483 ,5.6903,29.2849,76,68,68,305,98,94, --- , --- ,262,953949,0, App ,-58534, B , 
116, TGF-220919-19:51:44-53821 , 2022-09-19 19:51:44.113969 ,-2.1692,-70.6296,59,53,53,138,105,91, --- , --- ,262,115370,0, App ,46400, B , 
117, TGF-220922-01:15:48-63565 , 2022-09-22 01:15:48.144020 ,-2.2652,18.6267,268,242,241,334,201,185,138,424,265,866669,0, App ,-15352, B , 
118, TGF-220922-16:01:38-00194 , 2022-09-22 16:01:38.871982 ,14.2028,-16.7846,222,200,199,150,86,85, --- , --- ,265,10058,0, App ,81076, B , 
119, TGF-220923-01:57:03-02363 , 2022-09-23 01:57:03.780706 ,9.9464,-7.5172,222,200,199,266,158,147,136,354,266,684444,0, App ,-68263, B , 
120, TGF-220923-17:28:53-05270 , 2022-09-23 17:28:53.660162 ,-0.8901,124.313,23,21,20,164,126,100,9,312,266,220263,0, App ,55101, B , 
121, TGF-220923-18:14:06-05437 , 2022-09-23 18:14:06.842343 ,-2.8777,-70.1464,43,39,38,348,304,258, --- , --- ,266,404996,0, App ,40652, B , 
122, TGF-220923-23:39:44-06706 , 2022-09-23 23:39:45.334309 ,0.4826,28.9866,16, --- , --- ,265, --- , --- ,18,123,266,795930,0, App ,-62380, B , 
123, TGF-220924-02:31:46-07365 , 2022-09-24 02:31:46.688634 ,39.2427,-54.3524,41,37,36,90,62,55,20,78,267,74580,0, App ,-85054, B , 
124, TGF-220925-06:32:53-13569 , 2022-09-25 06:32:53.653785 ,10.8119,-90.2097,198,178,178,710,527,353,49,610,268,594879,0, App ,20094, B , 
125, TGF-220926-11:16:01-19577 , 2022-09-26 11:16:01.423703 ,6.9846,26.0736,24,22,21,58,49,41, --- , --- ,269,878221,0, App ,66518, B , 
126, TGF-220927-00:17:34-22867 , 2022-09-27 00:17:34.932974 ,15.53,-10.7032,174,156,156,148,100,99,128,264,270,99419,0, App ,-22556, C , 
127, TGF-220929-03:23:59-31616 , 2022-09-29 03:23:59.540604 ,5.5114,-61.6774,31,27,27,73,48,44,19,140,272,269306,0, App ,57702, B , 
128, TGF-220929-16:38:35-33566 , 2022-09-29 16:38:35.511131 ,11.5792,-69.9753,28,26,25,400,344,313, --- , --- ,272,813997,0, App ,-86134, B , 
129, TGF-220929-17:16:24-33662 , 2022-09-29 17:16:24.795842 ,14.4297,79.4523,24,22,21,161,98,94,5,65,272,75615,0, App ,-76227, B , 
130, TGF-221003-12:32:27-49595 , 2022-10-03 12:32:27.673097 ,19.1452,123.6794,37,33,33,132,45,45,19,100,276,284424,0, App ,-43674, B , 
131, TGF-221004-15:50:10-53752 , 2022-10-04 15:50:10.709918 ,19.0395,-80.8842,29,27,26,111,99,82, --- , --- ,277,50051,0, App ,50133, B , 
132, TGF-221004-19:36:02-54328 , 2022-10-04 19:36:02.894107 ,-0.1793,26.0983,13, --- , --- ,235, --- , --- ,11,204,277,50548,0, App ,83440, C , 
133, TGF-221005-08:46:10-56347 , 2022-10-05 08:46:10.159789 ,2.6567,7.2605,23,21,20,104,76,55, --- , --- ,278,692498,0, App ,-40291, B , 
134, TGF-221005-12:35:41-56909_ALL , 2022-10-05 12:35:41.018690 ,5.2492,122.6959,43, --- , --- ,1521, --- , --- ,15,1427,278,350701,0, App ,27010, B , 
134, TGF-221005-12:35:41-56909_a , 2022-10-05 12:35:41.018690 ,5.2492,122.6959,33,29,29,189,102,99,10,103,278,350701,0, App ,27010, B , 
134, TGF-221005-12:35:41-56909_b , 2022-10-05 12:35:41.020124 ,5.2491,122.6959,10, --- , --- ,87, --- , --- ,5,129,278,352135,0, App ,27010, B , 
135, TGF-221008-00:10:36-00392 , 2022-10-08 00:10:36.684186 ,-5.3904,114.1087,21,19,18,230,191,163, --- , --- ,281,88025,0, App ,-84162, B , 
136, TGF-221008-11:46:47-02257_1 , 2022-10-08 11:46:47.438070 ,5.9389,116.7548,46,42,41,1140,1054,871,19,1082,281,287782,0, App ,94711, B , 
137, TGF-221008-11:46:47-02257_2 , 2022-10-08 11:46:47.522684 ,5.9346,116.7578,127,115,114,159,70,70,81,118,281,372396,0, App ,94711, B , 
138, TGF-221008-23:22:53-04114 , 2022-10-08 23:22:53.841018 ,-6.8727,119.1106,27,25,24,399,307,286, --- , --- ,281,140987,0, App ,-72032, B , 
139, TGF-221009-00:06:58-04219 , 2022-10-09 00:06:58.711738 ,13.8626,-77.8473,105,95,94,206,77,61, --- , --- ,282,990211,0, App ,-60528, B , 
140, TGF-221009-04:14:01-05090 , 2022-10-09 04:14:01.722618 ,30.4664,78.147,37,33,33,396,242,179, --- , --- ,282,799354,0, App ,3735, B , 
141, TGF-221009-11:01:24-06239 , 2022-10-09 11:01:24.160654 ,0.2685,126.8343,105,95,94,222,116,107,58,329,282,921555,0, App ,86901, B , 
142, TGF-221010-22:36:49-13545 , 2022-10-10 22:36:50.014662 ,0.5062,-56.0182,76,68,68,203,100,89, --- , --- ,283,100189,1, App ,-36474, B , 
143, TGF-221011-23:15:21-17540 , 2022-10-11 23:15:21.914897 ,21.5498,-89.4585,105,95,94,174,70,67, --- , --- ,284,851140,0, App ,-3757, B , 
144, TGF-221012-01:50:48-17812 , 2022-10-12 01:50:48.613761 ,26.7616,92.5297,38,34,34,70,49,44, --- , --- ,285,437217,0, App ,35456, B , 
145, TGF-221012-21:52:37-20643 , 2022-10-12 21:52:37.348774 ,11.6707,133.0907,38,34,34,165,118,108, --- , --- ,285,234650,0, App ,-4124, B , 
146, TGF-221014-10:03:10-24879 , 2022-10-14 10:03:10.256119 ,22.1273,93.4827,122,110,109,101,78,71, --- , --- ,287,450779,0, App ,-44341, B , 
147, TGF-221014-12:35:27-25193 , 2022-10-14 12:35:27.843083 ,17.0838,-92.5583,18, --- , --- ,34, --- , --- , --- , --- ,287,917545,0, App ,-98539, B , 
148, TGF-221014-20:58:59-25838 , 2022-10-14 20:58:59.503795 ,4.339,-57.938,34,30,30,319,219,219, --- , --- ,287,194553,0, App ,35758, B , 
149, TGF-221014-22:27:46-25960 , 2022-10-14 22:27:46.333780 ,16.5996,-90.6446,35,31,31,69,53,49, --- , --- ,287,948899,0, App ,60119, B , 
150, TGF-221016-10:09:32-29171 , 2022-10-16 10:09:32.936424 ,-3.1734,101.143,48,44,43,106,83,71, --- , --- ,289,909326,0, App ,-83098, B , 
