Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn221118515 ,SGR221118515 ,  59901.5131756 ,  59901.5147704 ,SGR ,  64 ,11000000000000 , 51.6167 , 25.2667
1 ,bn221118103 ,UNCERT22111810 ,  59901.1018565 ,  59901.1033735 ,UNCERT ,  16 ,00101000000010 ,115.7833 ,  5.4667
1 ,bn221115874 ,SGR221115874 ,  59898.8725386 ,  59898.8740588 ,SGR ,  16 ,11000000000000 ,290.5833 , 25.4500
1 ,bn221115118 ,SFLARE22111511 ,  59898.1166251 ,  59898.1181999 ,SFLARE ,  64 ,00010100000000 , 45.4167 ,-24.8833
1 ,bn221115018 ,GRB221115018 ,  59898.0161270 ,  59898.0176944 ,GRB , 256 ,00000000010100 ,252.8833 , 25.4333
2 ,bn221114877 ,SGR221114877 ,  59897.8756011 ,  59897.8771317 ,SGR ,  16 ,00011011100000 ,254.0833 , 18.0500
0 ,bn221114697 ,TGF221114697 ,  59897.6956370 ,  59897.6971624 ,TGF ,  16 ,00101000000010 , 64.0833 , 14.5500
1 ,bn221114616 ,SGR221114616 ,  59897.6141895 ,  59897.6157274 ,SGR ,  16 ,10010000000000 ,  4.0333 , 21.7667
1 ,bn221114541 ,SGR221114541 ,  59897.5391171 ,  59897.5406436 ,SGR ,  16 ,11100100011000 ,343.5500 ,  4.2000
0 ,bn221112751 ,SFL221112751 ,  59895.7498456 ,  59895.7514552 ,SFLARE ,  64 ,01010000000000 ,241.2167 ,-14.0000
0 ,bn221112263 ,GRB221112263 ,  59895.2609800 ,  59895.2625504 ,GRB ,1024 ,10110000000000 ,270.8000 ,  0.8667
1 ,bn221111775 ,SFLARE22111177 ,  59894.7734017 ,  59894.7749514 ,SFLARE ,  64 ,01000100000000 ,305.9333 , 14.8833
1 ,bn221111576 ,SFLARE22111157 ,  59894.5743020 ,  59894.5758231 ,SFLARE ,  64 ,01000100000000 , 12.7333 , 12.3833
1 ,bn221111482 ,SFLARE22111148 ,  59894.4802552 ,  59894.4818348 ,SFLARE ,  64 ,00001100000000 ,254.4333 ,-21.2000
