status,time,description,ID_in_Graph
1,1657870470.96817,read the current time ,1657870470.96817,
1,1657870470.96817,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657870480.96817,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870480.96817,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657870490.96817,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870490.96817,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657870500.96817,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870500.96817,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657870560.96817,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657870560.973053,read the current time ,1657870560.973053,
1,1657870560.973053,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657870561.973053,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657870561.973053,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657870562.973053,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657870562.973053,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657870563.973053,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657870563.973053,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657870623.973053,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657870623.977753,read the current time ,1657870623.977753,
1,1657870623.977753,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657870633.977753,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870633.977753,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657870643.977753,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870643.977753,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657870653.977753,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870653.977753,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657870713.977753,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657870713.985504,read the current time ,1657870713.985504,
1,1657870717.485504,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657870717.485535,read the current time ,1657870717.485535,
1,1657870717.485535,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657870727.485535,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870727.485535,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657870767.485535,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657870770.485535,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657870780.485535,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870780.485535,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657870780.489716,read the current time ,1657870780.489716,
